subset,layer,segment,events,sites,points,ccc,rmse_mm,mae_mm,bias_mm,dynamic_mae_mm_step
clean_stageII_48h_no405,moisture_16in,early_0_3h,24,1,288,0.9091509641303979,0.7071394513277185,0.5129376587395541,0.01067529504178524,0.1518025075283087
clean_stageII_48h_no405,moisture_16in,post3_late_storage,24,1,397,0.9803540508393715,0.2640079031283793,0.18129096751305196,-0.042237792709508816,0.03300075207060334
clean_stageII_48h_no405,moisture_16in,post3_mid_storage,10,1,91,0.8487230781722513,0.5681853135989368,0.353152173143535,-0.005719689339650485,0.10033969555006213
clean_stageII_48h_no405,moisture_20in,early_0_3h,31,1,372,0.7181739448684944,0.8636520583002589,0.6219537648683544,0.03559559094488279,0.12368512732386418
clean_stageII_48h_no405,moisture_20in,post3_late_storage,31,1,337,0.9948667328989673,0.11894223883148185,0.09910128457882451,-0.0038920393872543917,0.02321661764571208
clean_stageII_48h_no405,moisture_4in,early_0_3h,1386,29,16606,0.9786935315437337,1.40490336392128,0.6609723422509748,0.20172727335322307,0.06816184002373728
clean_stageII_48h_no405,moisture_4in,post3_late_storage,1388,29,23878,0.9925550407580319,0.7945316590279884,0.38322122658903623,-0.008445243237641635,0.025466864018282617
clean_stageII_48h_no405,moisture_4in,post3_mid_storage,1165,27,17517,0.9900041092873272,0.9221780948525157,0.516402446559359,-0.04470742659422826,0.04729320079930309
clean_stageII_48h_no405,moisture_8in,early_0_3h,132,9,1584,0.9947946906086105,0.6861498924657786,0.4488648331390649,0.05845671845665727,0.09693675660711744
clean_stageII_48h_no405,moisture_8in,post3_late_storage,132,9,3335,0.9972317683538634,0.5185148206157623,0.2981792358063794,-0.048948979535559455,0.032817959164721404
clean_stageII_48h_no405,moisture_8in,post3_mid_storage,96,7,2149,0.9943972878299328,0.7364018971754399,0.47698969929294266,-0.11565532987112548,0.05150249329811023
clean_stageII_48h_site_balanced,moisture_12in,early_0_3h,56,3,672,0.9934415710292761,0.6625685382872205,0.4529961454346531,0.07875653890399972,0.09312280327378776
clean_stageII_48h_site_balanced,moisture_12in,post3_late_storage,55,3,982,0.9918656730729108,0.6769499340259136,0.37790039556938304,-0.03069140673973104,0.04693879145160313
clean_stageII_48h_site_balanced,moisture_12in,post3_mid_storage,37,2,546,0.9875125901802543,0.5964975124644003,0.3941809631694091,0.015725661523318085,0.06987132287061384
clean_stageII_48h_site_balanced,moisture_16in,early_0_3h,37,2,444,0.9858376997180418,0.8632269514954304,0.6457661296023802,-0.0024510351759882074,0.15496031886277498
clean_stageII_48h_site_balanced,moisture_16in,post3_late_storage,37,2,564,0.9904921626500179,0.639245911456062,0.3286934143202523,0.030940430197729008,0.05185462906658572
clean_stageII_48h_site_balanced,moisture_16in,post3_mid_storage,19,2,175,0.9849791165709763,1.0529679232787321,0.7506627482845516,0.0710619917423905,0.13356241247816486
clean_stageII_48h_site_balanced,moisture_20in,early_0_3h,30,1,360,0.7771529275476189,0.8446662542454313,0.6239773793628138,-0.12090584392416291,0.12159306255869598
clean_stageII_48h_site_balanced,moisture_20in,post3_late_storage,30,1,325,0.9936493917038227,0.1338813068581768,0.11308607038023646,-0.006060868633637284,0.023387919431552044
clean_stageII_48h_site_balanced,moisture_4in,early_0_3h,778,30,9324,0.994421778443509,0.697336064493655,0.39188954759946837,0.05991981433482527,0.06559586163588717
clean_stageII_48h_site_balanced,moisture_4in,post3_late_storage,780,30,13621,0.9894507078060084,0.9133927216413412,0.3537828707173335,0.004390229198412841,0.026235639419190496
clean_stageII_48h_site_balanced,moisture_4in,post3_mid_storage,648,28,9596,0.9952959179008917,0.6178087281930481,0.3458638112927537,-0.017050025845279176,0.04228156018810212
clean_stageII_48h_site_balanced,moisture_8in,early_0_3h,153,10,1836,0.9950630235656424,0.6606062909454852,0.4377645122422454,0.05055663713190124,0.09271051133925903
clean_stageII_48h_site_balanced,moisture_8in,post3_late_storage,153,10,3652,0.9972090766666878,0.5068326071404325,0.29770385440601027,-0.046626741625928364,0.03301553326626709
