subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm
all_events,340,moisture_20in,post3_late_storage,17,992,0.9589957782366105,0.8482605971665123,0.6147493527637216,-0.32284788708335027
all_events,340,moisture_20in,post3_mid_storage,13,433,0.6901797762778376,1.7422693107163005,1.3795668718017249,-1.0457363290449329
all_events,340,moisture_4in,early_0_3h,71,806,0.9330901773239342,0.9670916443702611,0.6014027983976968,0.2599177725705719
all_events,340,moisture_4in,post3_late_storage,59,1131,0.8130784577045834,1.062769129286687,0.46848219301039307,0.12927772041567895
all_events,340,moisture_4in,post3_mid_storage,54,1684,0.9921352689393005,0.22722599268730742,0.1636214866908595,0.0149826887889223
all_events,340,moisture_8in,early_0_3h,22,258,0.9630060501268733,0.3946741683166668,0.3067223378874149,0.02040535380120489
all_events,340,moisture_8in,post3_late_storage,21,659,0.958651173091327,0.3597565228705587,0.29737198025753886,-0.018517696639330342
all_events,340,moisture_8in,post3_mid_storage,18,585,0.8045327914661115,0.6908294462656716,0.5555125128509922,-0.16355182228146586
all_events,395,moisture_4in,early_0_3h,11,128,0.965664864051067,0.26953233296121043,0.17777014669547866,0.031466624552330784
all_events,395,moisture_4in,post3_mid_storage,8,151,0.9774837428149611,0.17567513765762174,0.12247692731164324,0.0102660086505013
all_events,400,moisture_4in,early_0_3h,27,294,0.9808915503961504,0.22962294492211777,0.1763294523932927,0.04183454349092117
all_events,400,moisture_4in,post3_late_storage,18,244,0.9835496877593859,0.19770886389704584,0.13837856070960422,-0.04484424194714299
all_events,400,moisture_4in,post3_mid_storage,9,243,0.9798485177635903,0.19428252320323708,0.10567003865078538,-0.0075475820751305265
all_events,405,moisture_12in,early_0_3h,293,2910,0.8739006893012127,2.290285180169089,1.5250300370505918,0.5998076173610629
all_events,405,moisture_12in,post3_late_storage,100,1044,0.8381048467259175,2.9150997323926013,1.294886109110874,0.7051952672310167
all_events,405,moisture_12in,post3_mid_storage,74,1067,0.49362667639143826,3.9954377038644977,3.3974787871642427,-2.146581700808765
all_events,405,moisture_16in,early_0_3h,430,3374,0.910447428002265,1.8431350345964774,1.026886127690827,-0.20270144734815992
all_events,405,moisture_16in,post3_late_storage,58,734,0.9887892291067127,1.0326370733186172,0.6776612086933902,0.11855045549144662
all_events,405,moisture_16in,post3_mid_storage,40,546,0.9889324393459709,1.0331071898802593,0.5552686883944499,-0.10196493885935512
all_events,405,moisture_20in,early_0_3h,402,2373,0.08015963334577511,5.9203571664477215,4.678992631139092,-4.502834119049331
all_events,405,moisture_20in,post3_late_storage,19,174,0.9942152413386147,0.4969589925488825,0.37251658197266835,-0.009975947716884115
all_events,405,moisture_20in,post3_mid_storage,8,103,0.9718047235019284,0.8336816465133111,0.6626880133795822,0.0021839429037264187
