site_id,layer,segment,subset,main_subset,curve_rmse_to_main_mm,curve_mae_to_main_mm,curve_bias_to_main_mm,curve_max_abs_to_main_mm,overlap_min_h,overlap_max_h
125,moisture_8in,post3_mid_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,111.54166666666666
125,moisture_8in,post3_mid_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,111.54166666666666
130,moisture_4in,early_0_3h,all_events,clean_stageII_48h,3.3800068049495806,2.707789372530562,2.5778951716210714,9.317804654366725,0.4855769230769226,62.99467391304348
130,moisture_4in,early_0_3h,clean_48h,clean_stageII_48h,3.949311947971872,3.553658009642114,3.553658009642114,9.549922609317555,0.25,62.99467391304348
130,moisture_4in,early_0_3h,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.07750000000000079,62.99467391304348
130,moisture_4in,early_0_3h,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.07750000000000079,62.99467391304348
130,moisture_4in,early_0_3h,clean_stageII_48h_site_balanced,clean_stageII_48h,2.2204701472377963,1.9006442353990005,1.9006442353990005,6.445757059337904,0.29545454545454763,62.99467391304348
130,moisture_4in,post3_late_storage,all_events,clean_stageII_48h,2.160865589434435,1.3912357652986629,1.3912357652986629,8.019658919515914,0.375,112.03125000000003
130,moisture_4in,post3_late_storage,clean_48h,clean_stageII_48h,1.3087460057697105,0.7869792152637262,0.7869792152637262,4.963609929314719,0.125,112.03125000000003
130,moisture_4in,post3_late_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,112.03125000000003
130,moisture_4in,post3_late_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,112.03125000000003
130,moisture_4in,post3_late_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,2.8689939698127223,2.1488837097411095,-2.1430504075774945,8.531298451099753,0.125,77.56250000000003
130,moisture_4in,post3_mid_storage,all_events,clean_stageII_48h,2.8912941717370453,2.056433018550087,2.056433018550087,8.635088360097296,0.25,73.87337662337663
130,moisture_4in,post3_mid_storage,clean_48h,clean_stageII_48h,2.190468184061396,1.475606953201468,1.475606953201468,6.796235481095177,0.125,73.87337662337663
130,moisture_4in,post3_mid_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,73.87337662337663
130,moisture_4in,post3_mid_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.125,73.87337662337663
130,moisture_4in,post3_mid_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,1.3558540503334429,1.1414266189416116,-1.1134074068629891,3.801882023444824,0.125,67.08928571428572
140,moisture_4in,early_0_3h,all_events,clean_stageII_48h,4.043284983596218,3.347662598969328,-3.001912592682833,9.5580651631835,0.5589285714285676,165.58035714285717
140,moisture_4in,early_0_3h,clean_48h,clean_stageII_48h,4.0065024679654115,3.6377453651942333,3.6320935528986356,7.7592912883777885,0.5,165.58035714285717
140,moisture_4in,early_0_3h,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,165.58035714285717
140,moisture_4in,early_0_3h,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,165.58035714285717
140,moisture_4in,early_0_3h,clean_stageII_48h_site_balanced,clean_stageII_48h,3.9139406322275967,3.3887811729192063,-3.3766730461620296,8.268149319824516,0.25,89.625
140,moisture_4in,post3_late_storage,all_events,clean_stageII_48h,4.56705380835969,4.219233760312503,4.219233760312503,6.401360238059594,0.5,194.89999999999998
140,moisture_4in,post3_late_storage,clean_48h,clean_stageII_48h,1.1377519361635158,0.9411068660655223,0.9411068660655223,2.7985668522502536,0.375,194.89999999999998
140,moisture_4in,post3_late_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.375,194.89999999999998
140,moisture_4in,post3_late_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.375,194.89999999999998
140,moisture_4in,post3_late_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,3.946861906257334,3.305400366835796,-3.2352148072269316,8.76359598597314,0.375,96.875
140,moisture_4in,post3_mid_storage,all_events,clean_stageII_48h,4.294409881209196,4.0116617726957795,3.4029666080115604,6.650276227439193,0.5,159.14375
140,moisture_4in,post3_mid_storage,clean_48h,clean_stageII_48h,2.065299036425059,1.8900781986261443,1.8611488009789872,4.820731289115098,0.375,159.14375
140,moisture_4in,post3_mid_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,159.14375
140,moisture_4in,post3_mid_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.25,159.14375
140,moisture_4in,post3_mid_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,4.244417465419184,3.684352566003189,-3.6741525703641007,9.054007467554129,0.25,74.625
140,moisture_8in,early_0_3h,all_events,clean_stageII_48h,2.569999905889725,2.427657048647122,2.427657048647122,3.8459017546663716,0.125,24.552197802197803
140,moisture_8in,early_0_3h,clean_48h,clean_stageII_48h,2.4176834360695536,2.3360255331363446,2.3360255331363446,3.322053178849174,0.125,24.552197802197803
140,moisture_8in,early_0_3h,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,24.552197802197803
140,moisture_8in,early_0_3h,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,24.552197802197803
140,moisture_8in,early_0_3h,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,24.552197802197803
140,moisture_8in,post3_late_storage,all_events,clean_stageII_48h,1.2161089804675103,1.1853511276604283,1.1853511276604283,1.7935814951294269,0.125,29.5
140,moisture_8in,post3_late_storage,clean_48h,clean_stageII_48h,0.9513514394867381,0.8851533589211023,0.8851533589211023,1.624526305543192,0.0,29.5
140,moisture_8in,post3_late_storage,clean_stageII_48h,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,29.5
140,moisture_8in,post3_late_storage,clean_stageII_48h_no405,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,29.5
140,moisture_8in,post3_late_storage,clean_stageII_48h_site_balanced,clean_stageII_48h,0.0,0.0,0.0,0.0,0.0,29.5
