site_id,event_id,layer,t_h,moisture_mm,start_mm,end_mm,total_drop_mm,duration_h,event_storage_norm,segment,segment_t_h,csr_x_h,subset
275,S275_moisture_4in_0030,moisture_4in,2.75,12.98448,14.34592,12.16152,2.1843999999999983,6.25,0.376744186046512,early_0_3h,2.75,4.876984126984127,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,0.0,14.10208,14.10208,11.77544,2.326640000000001,12.5,1.0,early_0_3h,0.0,1.5436507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,0.25,14.06144,14.10208,11.77544,2.326640000000001,12.5,0.9825327510917023,early_0_3h,0.25,1.7936507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,0.5,14.041120000000001,14.10208,11.77544,2.326640000000001,12.5,0.9737991266375547,early_0_3h,0.5,2.0436507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,0.75,14.020800000000001,14.10208,11.77544,2.326640000000001,12.5,0.9650655021834064,early_0_3h,0.75,2.2936507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,1.0,14.00048,14.10208,11.77544,2.326640000000001,12.5,0.9563318777292571,early_0_3h,1.0,2.5436507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,1.25,13.98016,14.10208,11.77544,2.326640000000001,12.5,0.9475982532751087,early_0_3h,1.25,2.7936507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,1.5,13.97,14.10208,11.77544,2.326640000000001,12.5,0.9432314410480349,early_0_3h,1.5,3.0436507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,1.75,13.95984,14.10208,11.77544,2.326640000000001,12.5,0.9388646288209603,early_0_3h,1.75,3.2936507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,2.0,13.92936,14.10208,11.77544,2.326640000000001,12.5,0.925764192139738,early_0_3h,2.0,3.5436507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,2.25,13.89888,14.10208,11.77544,2.326640000000001,12.5,0.912663755458515,early_0_3h,2.25,3.7936507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,2.5,13.868400000000001,14.10208,11.77544,2.326640000000001,12.5,0.8995633187772928,early_0_3h,2.5,4.0436507936507935,clean_stageII_48h
275,S275_moisture_4in_0019,moisture_4in,2.75,13.848080000000001,14.10208,11.77544,2.326640000000001,12.5,0.8908296943231443,early_0_3h,2.75,4.2936507936507935,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,0.0,14.09192,14.09192,11.14552,2.946399999999999,6.75,1.0,early_0_3h,0.0,2.741071428571429,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,0.25,13.95984,14.09192,11.14552,2.946399999999999,6.75,0.9551724137931039,early_0_3h,0.25,2.991071428571429,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,0.5,13.77696,14.09192,11.14552,2.946399999999999,6.75,0.8931034482758629,early_0_3h,0.5,3.241071428571429,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,0.75,13.57376,14.09192,11.14552,2.946399999999999,6.75,0.8241379310344833,early_0_3h,0.75,3.491071428571429,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,1.0,13.39088,14.09192,11.14552,2.946399999999999,6.75,0.7620689655172416,early_0_3h,1.0,3.741071428571429,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,1.25,13.22832,14.09192,11.14552,2.946399999999999,6.75,0.7068965517241385,early_0_3h,1.25,3.991071428571429,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,1.5,13.07592,14.09192,11.14552,2.946399999999999,6.75,0.6551724137931039,early_0_3h,1.5,4.241071428571429,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,1.75,12.93368,14.09192,11.14552,2.946399999999999,6.75,0.6068965517241386,early_0_3h,1.75,4.491071428571429,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,2.0,12.79144,14.09192,11.14552,2.946399999999999,6.75,0.5586206896551728,early_0_3h,2.0,4.741071428571429,clean_stageII_48h
275,S275_moisture_4in_0067,moisture_4in,2.25,12.659360000000001,14.09192,11.14552,2.946399999999999,6.75,0.5137931034482767,early_0_3h,2.25,4.991071428571429,clean_stageII_48h
