subset,site_id,layer,segment,events,points,ccc,rmse_mm,mae_mm,bias_mm,layer_label,segment_label,segment_short
clean_stageII_48h,430,moisture_4in,post3_mid_storage,34,430,0.9039677265020694,1.4952793226286394,0.5608231753531091,0.1164103996180369,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,430,moisture_4in,post3_late_storage,44,729,0.9951996278106114,0.304546328483628,0.2244609351666473,0.01562860480751,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,440,moisture_4in,early_0_3h,51,611,0.8208200311464284,1.3072130427676962,1.031599535023205,-0.3855084255458098,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,440,moisture_4in,post3_mid_storage,37,425,0.9003041561674661,0.9183951324162868,0.4074517612223077,0.113928917902678,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,440,moisture_4in,post3_late_storage,51,711,0.9672684027084196,0.5373885760510796,0.1941373419051431,0.0631845166745763,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,450,moisture_4in,early_0_3h,101,1212,0.8346766138676437,1.5989472429260985,0.9596587648193592,0.2545369507080067,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,450,moisture_4in,post3_mid_storage,70,900,0.9347545638628124,0.8531362174777312,0.5739465891574006,-0.0204241857810155,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,450,moisture_4in,post3_late_storage,101,1923,0.9436705929373328,0.8462746091133397,0.3502443594384573,0.1160148976264413,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,455,moisture_4in,early_0_3h,98,1176,0.9801627474805248,1.2306787381038486,0.7381267017075819,0.2424006548056812,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,455,moisture_4in,post3_mid_storage,87,1096,0.982132048793348,1.1626919536611406,0.5991344757797853,0.2017623439012362,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,455,moisture_4in,post3_late_storage,98,1212,0.9949888015585678,0.6473879346897736,0.3705207798548154,0.0561173187883773,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,460,moisture_4in,early_0_3h,36,432,0.9732745196957442,0.6619142285278099,0.4189518146354644,0.0719781217056477,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,460,moisture_4in,post3_mid_storage,32,646,0.9706628279023848,0.5721263741833084,0.4593446600689616,-0.1383596212329055,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,460,moisture_4in,post3_late_storage,36,934,0.9840990906804524,0.4018247153227821,0.2824367271696933,-0.0514797970879641,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,480,moisture_4in,early_0_3h,47,564,0.7361655634324226,1.8084319027434708,1.2633182669331888,0.1081193855684988,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,480,moisture_4in,post3_mid_storage,35,583,0.9637013965508074,0.7458155560464769,0.5656558635431671,-0.0916590094660064,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,480,moisture_4in,post3_late_storage,47,1428,0.9842566745072436,0.4439034219957363,0.3591123774013934,0.0148105392208516,4 in,Post-3 h low-storage tail,Low-storage
clean_stageII_48h,490,moisture_4in,early_0_3h,32,384,0.7855319798503582,2.2837375951054413,1.3824758563391202,-0.2263834681815573,4 in,"Early transient, 0-3 h",Early
clean_stageII_48h,490,moisture_4in,post3_mid_storage,28,465,0.9788451288715224,0.6123523279180577,0.4930765263692351,-0.1255271334106855,4 in,Post-3 h mid-storage,Mid-storage
clean_stageII_48h,490,moisture_4in,post3_late_storage,32,834,0.9803352983510076,0.5826308389729813,0.4329089847515323,-0.0336155128479327,4 in,Post-3 h low-storage tail,Low-storage
