site_id,layer,detected_events,associated_48h_events,clean_48h_events,clean_stageII_48h_events,stageII_like_events,fitted_segments,fitted_segment_names,min_segment_events,median_segment_events,total_segment_points,median_local_rmse_mm,median_local_mae_mm,support_class,csr_status,layer_label
420,moisture_20in,1,1,0,0,0,0,,0,,0,,,none,not fitted,20 in
425,moisture_4in,32,31,18,9,16,3,"early_0_3h,post3_mid_storage,post3_late_storage",9,9.0,361,0.3442163902111447,0.2465621218459606,eligible,complete,4 in
425,moisture_8in,6,5,0,0,3,0,,0,,0,,,none,not fitted,8 in
425,moisture_12in,2,2,0,0,1,0,,0,,0,,,none,not fitted,12 in
425,moisture_16in,2,2,1,0,0,0,,0,,0,,,none,not fitted,16 in
425,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
430,moisture_4in,132,104,74,44,83,3,"early_0_3h,post3_mid_storage,post3_late_storage",34,44.0,1687,0.7151676317889224,0.4487967699233733,strong,complete,4 in
430,moisture_8in,28,24,10,6,18,0,,0,,0,,,insufficient,not fitted,8 in
430,moisture_12in,11,10,3,2,10,0,,0,,0,,,insufficient,not fitted,12 in
430,moisture_16in,13,10,5,5,11,0,,0,,0,,,insufficient,not fitted,16 in
430,moisture_20in,7,7,4,1,3,0,,0,,0,,,insufficient,not fitted,20 in
435,moisture_4in,9,9,5,3,7,0,,0,,0,,,insufficient,not fitted,4 in
435,moisture_8in,0,0,0,0,0,0,,0,,0,,,none,not fitted,8 in
435,moisture_12in,0,0,0,0,0,0,,0,,0,,,none,not fitted,12 in
435,moisture_16in,0,0,0,0,0,0,,0,,0,,,none,not fitted,16 in
435,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
440,moisture_4in,144,124,88,51,85,3,"early_0_3h,post3_mid_storage,post3_late_storage",37,51.0,1747,0.9183951324162868,0.4074517612223077,strong,complete,4 in
440,moisture_8in,17,17,7,1,3,0,,0,,0,,,insufficient,not fitted,8 in
440,moisture_12in,31,31,10,1,2,0,,0,,0,,,insufficient,not fitted,12 in
440,moisture_16in,23,23,6,0,0,0,,0,,0,,,none,not fitted,16 in
440,moisture_20in,19,19,3,0,0,0,,0,,0,,,none,not fitted,20 in
450,moisture_4in,248,231,176,101,139,3,"early_0_3h,post3_mid_storage,post3_late_storage",70,101.0,4035,0.8531362174777312,0.5739465891574006,strong,complete,4 in
450,moisture_8in,60,56,24,18,37,3,"early_0_3h,post3_mid_storage,post3_late_storage",11,18.0,947,0.3111013798269985,0.2269233881352277,eligible,complete,8 in
450,moisture_12in,15,9,3,1,9,0,,0,,0,,,insufficient,not fitted,12 in
450,moisture_16in,2,2,2,2,2,0,,0,,0,,,insufficient,not fitted,16 in
450,moisture_20in,6,3,3,0,1,0,,0,,0,,,none,not fitted,20 in
455,moisture_4in,238,155,135,98,179,3,"early_0_3h,post3_mid_storage,post3_late_storage",87,98.0,3484,1.1626919536611406,0.5991344757797853,strong,complete,4 in
455,moisture_8in,42,19,11,6,26,0,,0,,0,,,insufficient,not fitted,8 in
455,moisture_12in,13,9,6,4,7,0,,0,,0,,,insufficient,not fitted,12 in
455,moisture_16in,3,2,1,0,0,0,,0,,0,,,none,not fitted,16 in
455,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
460,moisture_4in,86,85,49,36,56,3,"early_0_3h,post3_mid_storage,post3_late_storage",32,36.0,2012,0.5721263741833084,0.4189518146354644,strong,complete,4 in
460,moisture_8in,39,38,11,9,28,2,"early_0_3h,post3_late_storage",9,9.0,447,0.46360453705411886,0.33483999417210386,eligible,partial,8 in
460,moisture_12in,19,18,5,5,11,0,,0,,0,,,insufficient,not fitted,12 in
460,moisture_16in,7,7,3,3,4,0,,0,,0,,,insufficient,not fitted,16 in
460,moisture_20in,10,7,2,0,3,0,,0,,0,,,none,not fitted,20 in
470,moisture_4in,10,10,8,5,6,0,,0,,0,,,insufficient,not fitted,4 in
470,moisture_8in,1,1,1,0,0,0,,0,,0,,,none,not fitted,8 in
470,moisture_12in,1,1,0,0,1,0,,0,,0,,,none,not fitted,12 in
470,moisture_16in,1,1,0,0,1,0,,0,,0,,,none,not fitted,16 in
470,moisture_20in,0,0,0,0,0,0,,0,,0,,,none,not fitted,20 in
480,moisture_4in,121,118,79,47,65,3,"early_0_3h,post3_mid_storage,post3_late_storage",35,47.0,2575,0.7458155560464769,0.5656558635431671,strong,complete,4 in
480,moisture_8in,36,36,8,3,18,0,,0,,0,,,insufficient,not fitted,8 in
480,moisture_12in,9,9,3,1,4,0,,0,,0,,,insufficient,not fitted,12 in
480,moisture_16in,1,1,1,1,1,0,,0,,0,,,insufficient,not fitted,16 in
480,moisture_20in,2,1,1,1,1,0,,0,,0,,,insufficient,not fitted,20 in
490,moisture_4in,95,85,51,32,52,3,"early_0_3h,post3_mid_storage,post3_late_storage",28,32.0,1683,0.6123523279180577,0.4930765263692351,strong,complete,4 in
490,moisture_8in,45,43,31,14,23,3,"early_0_3h,post3_mid_storage,post3_late_storage",10,14.0,561,0.6909885964584327,0.4029456358824332,eligible,complete,8 in
490,moisture_12in,19,18,16,8,9,2,"early_0_3h,post3_late_storage",8,8.0,221,0.852297654697361,0.5092756064271474,eligible,partial,12 in
490,moisture_16in,6,6,5,1,1,0,,0,,0,,,insufficient,not fitted,16 in
490,moisture_20in,6,0,0,0,2,0,,0,,0,,,none,not fitted,20 in
