layer,regime_proxy,storage_bin,storage_norm,loss_mm_h_median,loss_mm_h_q25,loss_mm_h_q75,points
moisture_12in,stage-II-like,"(0.867, 0.933]",0.9007555490222847,0.3251199999999983,0.20319999999999538,0.6197600000000101,348
moisture_12in,stage-II-like,"(0.933, 1.0]",0.9711889549729225,0.20319999999999538,0.08128000000002089,0.447039999999987,526
moisture_16in,early-transient-heavy,"(-0.001, 0.0667]",0.027845807980059128,0.1219199999999887,0.040640000000010446,0.20319999999999538,483
moisture_16in,early-transient-heavy,"(0.0667, 0.133]",0.09837600846367915,0.3251199999999983,0.15239999999999299,0.5689600000000041,244
moisture_16in,early-transient-heavy,"(0.133, 0.2]",0.1658752029943244,0.28448000000000206,0.16255999999999915,0.7620000000000005,206
moisture_16in,early-transient-heavy,"(0.2, 0.267]",0.23284617014981943,0.28448000000000206,0.16255999999999915,0.5689600000000041,182
moisture_16in,early-transient-heavy,"(0.267, 0.333]",0.29938835795261154,0.3047999999999931,0.16255999999999915,0.7010399999999919,184
moisture_16in,early-transient-heavy,"(0.333, 0.4]",0.3667726828490664,0.3251199999999983,0.20319999999999538,0.6908799999999928,175
moisture_16in,early-transient-heavy,"(0.4, 0.467]",0.4330649938880765,0.4470400000000012,0.2032000000000096,0.9042400000000015,160
moisture_16in,early-transient-heavy,"(0.467, 0.533]",0.49988629428578163,0.7112000000000016,0.28448000000000206,2.7228800000000035,222
moisture_16in,early-transient-heavy,"(0.533, 0.6]",0.5651131404224748,0.3251200000000196,0.1625600000000098,0.9347200000000022,168
moisture_16in,early-transient-heavy,"(0.6, 0.667]",0.6347040636300189,0.3454399999999964,0.20319999999999183,1.0668000000000113,168
moisture_16in,early-transient-heavy,"(0.667, 0.733]",0.6991531048014328,0.40639999999999077,0.2032000000000096,0.926592000000003,157
moisture_16in,early-transient-heavy,"(0.733, 0.8]",0.7673617560554311,0.4063999999999979,0.20319999999999894,0.9347199999999916,147
