ID,year,first_utc,last_utc,rows_n,rain_2m_inches_n,rain_backup_2m_inches_n,temp_air_2m_C_n,rh_2m_pct_n,wind_speed_10m_mph_n,rfd_2m_wm2_n,trf_2m_kJm2_n,vp_2m_kPa_n,vp_sat_2m_kPa_n,vp_def_2m_kPa_n,temp_dp_2m_C_n,rain_positive_rows,rain_total_inches
455,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35012,35012,35012,35012,35012,35010,34890,35012,35012,35012,35012,35012,866.0,47.489999651908875
455,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35034,35034,35034,34966,34966,35030,35007,35034,34966,34966,34966,34966,747.0,45.2799999024719
455,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35031,35015,35036,35036,35036,35036,35036,765.0,46.839999759569764
460,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34954,34954,34954,34913,34913,34946,34929,34954,34913,34913,34913,34913,882.0,59.02999981865287
460,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35034,35034,35034,34993,34993,35029,34999,35034,34993,34993,34993,34993,939.0,53.339999716728926
460,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35031,35031,35031,34987,34987,35031,35003,35031,34987,34987,34987,34987,774.0,51.86999985203147
470,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35021,35021,35021,35021,35021,35021,34948,35021,35021,35021,35021,35020,770.0,46.6099998857826
470,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35029,35029,35029,35029,35029,35029,34997,35029,35029,35029,35029,35029,775.0,44.289999797940254
470,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35028,35028,35028,35028,35028,35028,34997,35028,35028,35028,35028,35028,703.0,49.52999961748719
480,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34998,34998,34998,34998,34998,34996,34975,34998,34998,34998,34998,34998,553.0,36.619999807327986
480,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35029,35029,35029,35029,35029,35028,35004,35029,35029,35029,35029,35029,1016.0,67.05999977141619
480,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,35030,35030,35030,35030,35030,35007,35030,35030,35030,35030,35030,627.0,38.74999992363155
490,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34841,34439,34841,34841,34841,34839,34840,34841,34841,34841,34841,34838,657.0,44.89999986253679
490,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35033,35033,35033,35033,35033,35030,35033,35033,35033,35033,35033,35033,867.0,47.91999970190227
490,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,34830,35035,35035,35035,35035,35035,35035,616.0,39.61999981850386
