ID,year,first_utc,last_utc,rows_n_soil,moisture_4_n,moisture_8_n,moisture_12_n,moisture_16_n,moisture_20_n,rows_n_wx,rain_2m_inches_n,rain_total_inches
400,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34844,34761,34844,34844,34844,34844,34653,34653,47.42999979108572
400,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,35131,35131,35131,35131,35131,35035,35035,48.3099997472018
400,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,47.13999976962805
405,2023,2023-08-29 14:45:00,2023-12-31 23:45:00,11922,11909,11922,11922,11922,11922,34999,34999,49.01999978534877
405,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35123,35123,35123,35123,35123,35123,35027,35027,54.17999970726669
405,2025,2025-01-01 00:15:00,2025-12-31 23:45:00,35028,33846,35028,35028,35028,35028,35028,35028,54.969999834895134
410,2023,2023-03-24 22:15:00,2023-12-31 23:45:00,27079,0,0,0,0,0,35036,35036,50.409999718889594
410,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,0,0,0,0,0,35036,35036,43.62999979406595
410,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,0,0,0,0,0,35034,35034,35.6499999165535
415,2023,2023-12-19 14:45:00,2023-12-31 23:45:00,1189,1189,1189,1189,1189,1189,1158,1158,1.769999984651804
415,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35131,35131,35131,35131,35131,35131,35035,35035,48.15999982878566
415,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35032,35032,35032,35032,35032,35032,35032,35032,46.269999815151095
420,2023,2023-08-14 15:45:00,2023-12-31 23:45:00,13375,13375,13375,13375,13375,13375,34540,34540,103.73999968543649
420,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35037,35037,73.17999980598688
420,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35034,35034,35034,35034,35034,35034,35034,35034,42.14999973960221
425,2023,2023-08-14 18:30:00,2023-12-31 23:45:00,13366,13366,13366,13366,13366,13366,35026,35026,64.18999977782369
425,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,47.61999977752566
425,2025,2025-01-01 00:00:00,2025-01-18 09:00:00,1669,1669,1669,1669,1669,1669,22423,22423,36.70000006072223
430,2023,2023-08-23 11:30:00,2023-12-31 23:45:00,12530,12530,12530,12530,12530,12530,35036,35036,57.289999870583415
430,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,61.95999957062304
430,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,35029,35030,35030,35030,35030,35030,35030,44.2899997215718
435,2023,2023-05-02 20:00:00,2023-12-31 23:45:00,23329,23329,23329,23329,23329,23329,35007,35007,48.72999965772033
435,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,34608,1870,34608,34608,34608,34608,34050,34050,45.40999983996153
435,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,34990,1,34990,34990,34990,34990,34990,34990,52.56999973766506
440,2023,2023-08-29 14:45:00,2023-12-31 23:45:00,11940,11940,11940,11940,11940,11940,35017,35017,80.84999962709844
440,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35118,34984,35118,35118,35118,35118,35022,35022,76.58999965526164
440,2025,2025-01-01 00:15:00,2025-12-31 23:45:00,35023,29519,35023,35023,35023,35023,35023,35023,55.429999869316816
450,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,35029,35024,35029,35029,35029,35029,35031,35031,56.96999968215823
450,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35132,35132,35132,35132,35132,35132,35036,35036,52.33999966830015
450,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35032,35032,35032,35032,35032,35032,35032,35032,51.91999959014356
455,2023,2023-05-03 11:00:00,2023-12-31 23:45:00,23281,23281,23281,23281,23281,23281,35012,35012,47.489999651908875
455,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35130,35130,35130,35130,35130,35130,35034,35034,45.2799999024719
455,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35036,35036,35036,35036,35036,35036,35036,35036,46.839999759569764
460,2023,2023-01-01 00:00:00,2023-12-31 23:45:00,34954,34954,34954,34954,34954,34954,34954,34954,59.02999981865287
460,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35130,35130,35130,35130,35130,35130,35034,35034,53.339999716728926
460,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35031,35031,35031,35031,35031,35031,35031,35031,51.86999985203147
470,2023,2023-05-03 12:30:00,2023-12-31 23:45:00,23277,23277,23277,23277,23277,23277,35021,35021,46.6099998857826
470,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35125,35125,35125,35125,35125,35125,35029,35029,44.289999797940254
470,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35028,35028,35028,35028,35028,35028,35028,35028,49.52999961748719
480,2023,2023-05-04 12:15:00,2023-12-31 23:45:00,23178,23178,23178,23178,23178,23178,34998,34998,36.619999807327986
480,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35124,35124,35124,35124,35124,35124,35029,35029,67.05999977141619
480,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35030,35030,35030,35030,35030,35030,35030,35030,38.74999992363155
490,2023,2023-08-23 10:30:00,2023-12-31 23:45:00,12374,12374,12374,12374,12374,12374,34841,34439,44.89999986253679
490,2024,2024-01-01 00:00:00,2024-12-31 23:45:00,35129,35129,35129,35129,35129,35129,35033,35033,47.91999970190227
490,2025,2025-01-01 00:00:00,2025-12-31 23:45:00,35035,35035,35035,35035,35035,35035,35035,35035,39.61999981850386
